Location,CellNo,VoltMean,ResistMean,TempMean
Bay Fair Station,20,2.288322033898303,0.2630847457627113,19.823728813559324
Bay Fair Station,21,2.2676892655367205,0.3426836158192087,19.99943502824859
Bay Fair Station,22,2.2663728813559323,0.23093785310734455,19.909604519774014
Bay Fair Station,23,2.270220338983052,0.23541807909604545,19.716384180790964
Bay Fair Station,24,2.268435028248585,0.21728248587570623,20.1
Bay Fair Station,25,2.2670561797752806,0.32399438202247194,20.12640449438202
Bay Fair Station,26,2.2700000000000005,0.3380677966101699,19.752542372881354
Bay Fair Station,27,2.2758474576271173,0.25838418079096126,20.00056497175141
Bay Fair Station,28,2.2659717514124282,0.2302655367231639,20.08079096045199
Bay Fair Station,29,2.266909604519773,0.24671186440677995,20.206779661016938
Bay Fair Station,30,2.266734463276836,0.22273446327683588,19.8271186440678
Bay Fair Station,31,2.2751242937853107,0.34585875706214675,20.123163841807912
Bay Fair Station,32,2.264050847457625,0.2505762711864401,20.038418079096044
Bay Fair Station,33,2.272028089887639,0.2444101123595507,20.11966292134831
Bay Fair Station,34,2.2670898876404473,0.22746067415730264,20.087640449438204
Bay Fair Station,35,2.2646067415730315,0.2571573033707866,19.8320224719101
Bay Fair Station,36,2.26912429378531,0.36340677966101625,19.905084745762707
Bay Fair Station,37,2.2721525423728806,0.30532203389830553,19.965536723163854
Bay Fair Station,38,2.272949152542372,0.25044067796610164,20.19943502824858
Bay Fair Station,39,2.2684802259887005,0.2392259887005651,19.77853107344633
Bay Fair Station,40,2.2743502824858752,0.275768361581921,20.028248587570612
Bay Fair Station,41,2.2667471910112336,0.33729775280898905,19.839325842696642
Bay Fair Station,42,2.271067415730339,0.22767415730337068,20.055617977528094
Bay Fair Station,43,2.270314606741571,0.22462921348314607,19.89382022471909
Bay Fair Station,44,2.2695932203389826,0.23554802259887034,19.95932203389832
Bay Fair Station,45,2.2638418079096034,0.2677909604519772,19.932203389830505
Bay Fair Station,46,2.2665875706214673,0.2809322033898308,20.1813559322034
Bay Fair Station,47,2.2782824858757054,0.21796045197740174,20.020338983050863
Bay Fair Station,48,2.265050847457625,0.22392090395480257,20.032768361581915
Bay Fair Station,49,2.263955056179773,0.2246685393258435,20.05280898876405
Bay Fair Station,50,2.2689157303370773,0.2201573033707862,20.161235955056178
Bay Fair Station,51,2.2851694915254215,0.37243502824858776,20.037288135593208
Bay Fair Station,52,2.268508474576269,0.21120338983050857,20.148587570621466
Bay Fair Station,53,2.2659152542372865,0.24072316384180753,19.93333333333333
Bay Fair Station,54,2.271231638418079,0.2176949152542378,20.042937853107333
Bay Fair Station,55,2.269700564971752,0.2565480225988699,20.13672316384182
Bay Fair Station,56,2.270412429378532,0.22450847457627127,20.128248587570624
Bay Fair Station,57,2.2670515463917518,0.24719587628865985,18.579381443298963
Bay Fair Station,58,2.2669278350515465,0.2234432989690722,18.758762886597935
Bay Fair Station,59,2.2622164948453616,0.2190103092783504,18.85567010309278
Bay Fair Station,60,2.2713645833333316,0.22137500000000032,18.61770833333333
Civic Center Station,1,2.263740112994348,0.4711299435028243,25.702259887005656
Civic Center Station,2,2.2567118644067783,0.41753107344632734,25.77627118644067
Civic Center Station,3,2.26093220338983,0.4978192090395482,25.44689265536723
Civic Center Station,4,2.2657740112994347,0.483457627118644,25.387570621468925
Civic Center Station,5,2.2681638418079095,0.3897796610169498,25.14124293785311
Civic Center Station,6,2.264694915254236,0.4142485875706214,25.364406779661017
Civic Center Station,7,2.270423728813559,0.4322372881355933,25.316384180790955
Civic Center Station,8,2.2622542372881354,0.45280225988700584,25.48474576271187
Civic Center Station,9,2.2587966101694903,0.39159887005649735,25.30282485875706
Civic Center Station,10,2.2575197740112993,0.4077740112994347,25.944067796610167
Civic Center Station,11,2.2590734463276827,0.4116949152542373,25.7180790960452
Civic Center Station,12,2.25328813559322,0.38523163841807956,25.638418079096052
Civic Center Station,13,2.2621807909604508,0.39685310734463297,25.39491525423729
Civic Center Station,14,2.2607231638418073,0.4206101694915255,25.16949152542373
Civic Center Station,15,2.266644067796609,0.4602881355932199,25.07005649717515
Civic Center Station,16,2.2679830508474574,0.4009604519774012,25.25310734463277
Civic Center Station,17,2.261644067796609,0.4054406779661015,25.358192090395477
Civic Center Station,18,2.263491525423727,0.4072033898305084,25.272881355932203
Civic Center Station,19,2.261751412429376,0.4051977401129942,25.874011299435022
Civic Center Station,20,2.2587740112994346,0.39264971751412425,26.020903954802264
Civic Center Station,21,2.2560847457627125,0.42314124293785305,26.086440677966102
Civic Center Station,22,2.2612033898305084,0.4166892655367231,25.6864406779661
Civic Center Station,23,2.252209039548023,0.39285875706214707,25.872316384180788
Civic Center Station,24,2.247259887005651,0.4143728813559323,25.212994350282486
